total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,incomeperperson,alcconsumption,armedforcesrate,breastcancerper100th,co2emissions,femaleemployrate,hivrate,internetuserate,lifeexpectancy,oilperperson,polityscore,relectricperperson,suicideper100th,employrate,urbanrate
37320.092274678114,161.19957081545064,156.16886550976128,1557.9772209567197,6.911161731207289,6.401288503253793,958.6869484978539,4.140952789699568,4.011718004338392,40.0216902050114,0.17753986332574095,0.16441865509761402,1.067441860465116,,,,,,,,,,,,,,,,,371507.4166666667,311554.0,102777.28571428571,2859.0,6097.61,0.9549999999999997,0.8000000000000002,0.2642857142857143,156.78,39.07965065502195,38928341.0,54.42199999999961,18.60000000000016,2.580999999999996,1.336999999999992,1803.9869999999923,,597.0290000000024,9.590000000000062,,,37.745999999999604,0.5,64.83000000000077,0.5109999999999971,2013.5,3.594666666666667,7.650833333333334,0.5084166666666666,52.26666666666666,0.5181666666666666,0.07008333333333334,0.8433333333333334,0.5486666666666666,0.32649999999999996,,0.03,0.5696534000000001,26.8,75944000.0,25.60000038,,3.654121623,48.673,,0.0,,6.684385300000001,55.70000076,24.04
45200.31194690266,292.83185840707966,295.9968008948544,862.6866666666666,5.446666666666666,5.480387024608502,15706.550829646018,101.75544690265488,102.8552416107382,299.7729622222222,1.8924955555555558,1.9043713646532465,1.0135402298850573,,,,,,,,,1525.3706140350878,199338.11622807017,69.26752631578951,0.5300504385964911,1515.5849889624724,0.5266225165562919,0.17457692307692324,11.602714932126698,304382.1666666667,233687.40625,183042.2857142857,8969.887096774193,5402.0352112676055,10.576904761904766,8.120000000000001,6.36,1877.0704225352113,62.76170305676825,2877800.0,104.87099999999934,38.0,13.188000000000082,8.643000000000024,11803.430999999933,1.1000000000000094,304.19500000000363,10.079999999999949,7.099999999999942,51.20000000000043,,2.890000000000015,78.56999999999975,0.795000000000001,2013.923076923077,5.019384615384615,9.384384615384615,0.7162307692307692,67.54615384615384,0.662923076923077,-0.08269230769230769,0.8693846153846153,0.6538461538461539,0.29923076923076924,1914.9965510000002,7.29,1.0247361,57.4,223747333.3,42.09999847,,44.98994696,76.918,,9.0,636.3413833999999,7.699329852999999,51.40000153,46.72
60926.51612903226,279.51827956989246,280.47235652173924,1897.2561247216036,7.788418708240535,7.552486956521741,1389.397191397849,6.374264516129038,6.396030434782607,43.26592204899776,0.17755011135857413,0.172208695652174,1.04654462242563,,,,,,,,,,,,,,,,,25010.0,,,30.0,3289.0476190476193,0.05666666666666667,,,74.66666666666667,71.54105494505517,43851043.0,17.34799999999996,29.100000000000236,6.210999999999946,3.8569999999999833,13913.838999999929,0.5,278.36400000000117,6.730000000000016,0.6999999999999938,30.39999999999976,83.74100000000104,1.899999999999985,76.88000000000008,0.7479999999999948,2014.625,5.389875,9.328875000000002,0.8035714285714287,65.29,0.5191666666666667,-0.14433333333333334,0.691,0.6084285714285713,0.2622857142857143,2231.993335,0.69,2.3068169999999997,23.5,2932108667.0,31.70000076,0.1,12.50007331,73.131,0.420094525,2.0,590.5098142999999,4.848769665,50.5,65.22
11198.71201814059,79.68253968253968,79.25362155963302,278.599537037037,1.8148148148148149,1.7601788990825682,340.7357460317461,2.4244467120181397,2.411378440366973,8.476805555555563,0.05515509259259251,0.05356192660550452,1.0810112359550563,,,,,,,,,,,,,,,,,384754.28571428574,336963.4285714286,133814.4,,9679.087912087913,1.1707142857142858,1.025,0.40800000000000003,294.5934065934066,69.21491566265091,32866268.0,23.88999999999998,16.80000000000012,2.40499999999998,1.3620000000000032,5819.4950000000645,,276.04499999999854,3.940000000000038,,,26.664000000000154,,61.15000000000042,0.5809999999999955,2012.5,4.420249999999999,8.990000000000002,0.73825,53.55,0.45625,-0.08825000000000001,0.8667499999999999,0.6134999999999999,0.35124999999999995,1381.004268,5.57,1.4613288,23.1,248358000.0,69.40000153,2.0,9.999953883,51.093,,-2.0,172.9992274,14.55467701,75.69999695,56.7
1143869.1048034935,8481.325327510916,8364.492889624722,27606.87858719647,176.32008830022076,172.58782119205293,25309.203224890833,187.6574606986899,185.07246578366454,610.828706401766,3.9012516556291392,3.8186732891832222,1.1331050228310502,,,,,,,,,20629.21174004193,3107535.8322851155,68.7572243186583,0.4564276729559746,19283.99603960396,0.42666534653465354,0.22447133757961765,7.175159235668793,4467465.397058823,3840627.5153846154,828817.4692307692,98617.256,78360.80645161291,9.88485294117647,8.497769230769235,1.8339999999999996,1733.832258064516,73.2454158607345,45195777.0,16.17699999999986,31.89999999999976,11.19800000000006,7.440999999999918,18933.906999999817,0.6000000000000008,191.0320000000018,5.5,16.199999999999896,27.70000000000024,,5.0,76.66999999999899,0.8450000000000107,2013.0,6.310133333333335,10.033800000000001,0.9044000000000001,67.9,0.7682000000000001,-0.15986666666666663,0.8420666666666665,0.8334666666666667,0.284,10749.419240000001,9.35,0.560987,73.9,5872119000.0,45.90000153,0.5,36.00033495,75.90100000000001,0.635943801,8.0,768.4282997,7.765584,58.40000153,92.0
94891.75869565217,484.73478260869564,489.4803846153848,1822.9149425287355,10.22528735632184,9.751953846153846,32023.039223913052,163.58302826086953,165.18450989010992,615.177514942529,3.4506666666666623,3.290971428571427,1.045740318906606,,,,,,,,,2920.5549738219897,560811.0381679389,189.2564122137404,0.9855811518324601,2431.6199095022625,0.8205791855203616,0.19441855203619918,7.695022624434391,18126.4,18126.4,,,512.9333333333333,0.612,0.612,,173.08333333333334,,2963234.0,102.93099999999926,35.7000000000003,11.231999999999976,7.570999999999945,8787.58000000005,1.7999999999999876,341.00999999999965,7.11000000000002,1.5,52.09999999999972,94.04299999999995,4.200000000000031,75.08999999999995,0.7760000000000062,2012.5,4.513571428571429,9.270357142857142,0.7185714285714286,65.74285714285715,0.5637142857142857,-0.19964285714285715,0.8464999999999999,0.5502142857142858,0.4340714285714286,1326.741757,13.66,2.6184383999999996,51.6,51219666.67,34.20000076,0.1,44.00102458,74.241,,5.0,603.7630576,3.7415878769999997,40.09999847,63.86
19390.757575757576,60.89090909090909,61.450412244897954,593.4413043478261,1.9782608695652173,1.8571714285714291,760.425408080808,2.387888888888889,2.4098367346938754,23.27220652173912,0.07756086956521747,0.07283061224489798,1.0240401785714284,,,,,,,,,42111.26315789474,7654117.15625,300.162871875,1.6514135338345861,41926.445221445225,1.6441724941724938,0.0018484848484848495,2895.5601398601416,1444732.9722222222,976161.447368421,481809.3,42069.57009345794,39268.411214953274,5.665740740740741,3.828157894736842,1.8889999999999998,1539.9906542056074,57.19615541922276,25499881.0,3.2019999999999986,37.89999999999996,15.50399999999992,10.128999999999927,44648.71000000054,0.5,107.79099999999924,5.070000000000013,13.0,16.5,,3.839999999999968,83.44000000000004,0.9440000000000048,2013.2142857142858,7.282071428571429,10.755571428571429,0.9473571428571427,72.69285714285715,0.9217142857142857,0.2742307692307692,0.4154999999999999,0.8006428571428571,0.21335714285714286,25249.98606,10.21,0.4862799,83.2,12970092667.0,54.59999847,0.1,75.89565379999999,81.907,1.913026109,10.0,2825.391095,8.470030125,61.5,88.74
217616.80860215053,1388.8903225806453,1401.8124413043483,3856.0601336302893,23.66815144766147,23.056497826086957,24162.463217204302,154.21149892473113,155.6462500000001,428.14668151447705,2.627908685968819,2.5600173913043482,1.0740444444444432,248.89201877934272,27.635037558685454,1036.8450704225352,115.12315962441313,,,,,98634.55687203791,8114203.799528302,900.9375235849056,10.951627962085315,96330.3971291866,10.695779904306221,0.007840336134453788,182.1159663865546,1679131.259493671,1213943.0253164556,533138.5539568345,34161.08917197452,32583.859872611465,18.643987341772146,13.478734177215191,5.9198561151079145,3617.859872611465,61.823032258064366,9006400.0,106.74900000000106,44.40000000000009,19.202000000000098,13.747999999999879,45436.68600000038,0.6999999999999938,145.18299999999914,6.349999999999946,28.399999999999768,30.899999999999757,,7.3699999999999255,81.54000000000067,0.9220000000000087,2013.7692307692307,7.242230769230769,10.886846153846154,0.9295384615384618,72.10307692307693,0.9061538461538462,0.13046153846153846,0.5702307692307692,0.788076923076923,0.17815384615384613,26692.984109999998,12.4,0.8155798000000001,70.5,4466084333.0,49.70000076,0.3,72.73157554,80.854,1.5487909659999999,10.0,2068.123309,13.09437,57.09999847,67.16
117472.68043478261,726.991304347826,734.040821978022,1630.1026785714287,11.002232142857142,10.79907912087912,11586.019621739135,71.70123260869566,72.39650989010984,160.7727433035715,1.0851428571428563,1.065054945054945,1.0558564814814813,,,,,,,,,9260.612903225807,3371656.606060606,332.5375757575758,0.9132903225806452,8998.32142857143,0.8875714285714285,0.05366666666666666,21.71481481481481,1360430.0410958903,859500.6027397261,599472.9344262296,23711.238095238095,16531.757352941175,13.417671232876714,8.477123287671237,5.913442622950818,1630.5294117647059,76.61120350109391,10139175.0,119.30900000000068,32.39999999999976,6.018000000000021,3.871000000000033,15847.418999999962,,559.8120000000039,7.11000000000002,0.29999999999999893,42.5,83.24100000000102,4.700000000000021,73.0,0.7559999999999927,2012.5,4.941000000000001,9.519571428571428,0.7705714285714287,63.942857142857136,0.6620714285714284,-0.16964285714285712,0.6983571428571429,0.5730000000000001,0.23064285714285715,2344.896916,13.34,1.9767462,31.5,511107666.7,56.20000076,0.1,46.67970157,70.73899999999999,0.35917261,-7.0,921.5621107999999,1.380964637,60.90000153,51.92
75424.06652360516,529.3090128755365,520.8732321041215,290.5370786516854,2.359550561797753,2.133570498915401,44325.8227639485,311.0685772532188,306.11099783080283,170.74520449438185,1.3866831460674156,1.2538915401301518,1.092678571428571,,,,,,,,,10908.016949152543,1822849.2373737374,1071.26669949495,6.410477401129946,10246.921700223713,6.021982102908282,0.045221973094170385,29.872869955156972,888319.5,430617.43949044583,453737.37078651687,12290.388888888889,10507.919254658385,52.20554545454548,25.30694267515925,26.665393258426963,6175.291925465838,60.70940789473725,1701583.0,1935.907000000006,32.39999999999975,2.3719999999999906,1.3869999999999885,43290.704999999754,,151.68899999999888,16.520000000000195,5.80000000000002,37.60000000000014,,2.0,77.29000000000067,0.8519999999999929,2014.1818181818182,6.0017272727272735,10.730818181818181,0.8802,67.59454545454545,0.8615999999999999,0.062625,0.5534,0.7219,0.3536,12505.21254,4.19,5.2311429,40.2,503994333.3,30.20000076,,54.99280903,75.057,,-7.0,7314.355637000001,4.414990425,60.40000153,88.52
